[00] 令和5年度の択一式過去問、7番です。全4問、答えは動画内で発表します。

[01] 問題1。激しく変化し続ける時代において、高い業績を上げる組織・チームを作るために、心理的安全性が重要とされている。職場における心理的安全性と業績基準を分類した下表の（A）〜（D）と、それらの職場の典型的な状態の説明である（ア）〜（エ）の組合せとして、最も適切ならものはどれか。

[02] 正答は3番。心理的安全性と業績基準。A=イ（快適）、B=エ（学習）、C=ア（無関心）、D=ウ（不安）がすべて正しい。

[03] 問題2。「JISQ31000:2019リスクマネジメント-指針」におけるリスクマネジメントのプロセスとして下図が示されている。このうちリスク評価の手順は、（ア）→リスク分析→（イ）の順序で進むものとする。図中の（ア）〜（エ）に当てはまる用語等の組合せとして、最も適切ならものはどれか。

[04] 正答は5番。リスクマネジメントプロセス。ア=リスク特定、イ=リスク評価、ウ=リスク対応、エ=モニタリング及びレビューが正しい。

[05] 問題3。消費生活用製品安全法及び「長期使用製品安全点検制度及び長期使用製品安全表示制度の解説〜ガイドライン〜」に関する次の記述のうち、最も不適切なものはどれか。

[06] 正答は3番。消費生活用製品安全法の義務。特定保守製品の定義として正しい記述。

[07] 問題4。南海トラフ地震における具体的な応急対策活動に関する次の記述のうち、最も不適切ならものはどれか。

[08] 正答は5番。南海トラフ地震応急対策。南海トラフ地震の応急対策活動計画は最大規模の想定に基づいて策定される。

[09] フォローすると毎週、過去問解説が届きます。全問解説はドボクノートでチェック。
