slug,論点名,5管理分類,出現回数,出題年度数,直近出題年度,出題年度リスト,ページURL
occupational-safety-act,労働安全衛生法,人的資源管理,28,17,令和8年度,平成21年度;平成22年度;平成23年度;平成24年度;平成26年度;平成27年度;平成28年度;平成29年度;平成30年度;令和元年度;令和2年度;令和3年度;令和4年度;令和5年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/occupational-safety-act
environmental-impact-assessment,環境影響評価法,社会環境管理,24,17,令和8年度,平成21年度;平成22年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;平成30年度;令和元年度;令和2年度;令和3年度;令和4年度;令和5年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/environmental-impact-assessment
labor-standards-act,労働基準法,人的資源管理,24,16,令和7年度,平成21年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;平成30年度;令和元年度;令和2年度;令和3年度;令和4年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/labor-standards-act
environmental-basic-plan,環境基本計画,社会環境管理,22,15,令和8年度,平成21年度;平成22年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成30年度;令和2年度;令和3年度;令和5年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/environmental-basic-plan
iot,IoT（Internet of Things）,情報管理,22,12,令和8年度,平成24年度;平成27年度;平成28年度;平成29年度;平成30年度;令和元年度;令和2年度;令和3年度;令和4年度;令和5年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/iot
carbon-neutral,カーボンニュートラル,社会環境管理,21,16,令和8年度,平成21年度;平成22年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;令和元年度;令和3年度;令和4年度;令和5年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/carbon-neutral
carbon-pricing,環境税・カーボンプライシング,社会環境管理,21,14,令和8年度,平成21年度;平成22年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;令和3年度;令和4年度;令和5年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/carbon-pricing
business-continuity-plan,BCP・BCM,経済性管理,19,14,令和7年度,平成21年度;平成22年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;平成30年度;令和2年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/business-continuity-plan
extended-producer-responsibility,拡大生産者責任（EPR）,社会環境管理,19,14,令和8年度,平成21年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;平成30年度;令和2年度;令和3年度;令和5年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/extended-producer-responsibility
quality-control,品質管理,経済性管理,17,14,令和7年度,平成21年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;平成30年度;令和2年度;令和3年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/quality-control
circular-society-basic-act,循環型社会形成推進基本法,社会環境管理,17,13,令和8年度,平成21年度;平成23年度;平成25年度;平成26年度;平成27年度;平成29年度;令和元年度;令和2年度;令和3年度;令和5年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/circular-society-basic-act
risk-assessment,リスク評価,経済性管理,17,11,令和8年度,平成21年度;平成22年度;平成23年度;平成24年度;平成27年度;平成29年度;平成30年度;令和元年度;令和3年度;令和5年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/risk-assessment
pert-cpm,PERT/CPM,経済性管理,16,14,令和8年度,平成21年度;平成23年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;平成30年度;令和2年度;令和3年度;令和4年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/pert-cpm
environmental-accounting,環境会計,社会環境管理,16,11,令和6年度,平成21年度;平成22年度;平成23年度;平成24年度;平成26年度;平成27年度;平成28年度;平成29年度;令和元年度;令和2年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/environmental-accounting
personal-info-protection,個人情報の保護措置,情報管理,15,14,令和8年度,平成21年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;平成30年度;令和2年度;令和3年度;令和5年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/personal-info-protection
waste-management-act,廃棄物処理法,社会環境管理,15,14,令和8年度,平成21年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;令和2年度;令和3年度;令和4年度;令和5年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/waste-management-act
ojt-off-jt,OJT/OFF-JT,人的資源管理,14,13,令和8年度,平成21年度;平成22年度;平成24年度;平成25年度;平成27年度;平成29年度;平成30年度;令和2年度;令和3年度;令和5年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/ojt-off-jt
environmental-standards,環境基準,社会環境管理,14,12,令和4年度,平成21年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成30年度;令和元年度;令和2年度;令和3年度;令和4年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/environmental-standards
sdgs,持続可能な開発目標（SDGs）,社会環境管理,14,10,令和8年度,平成23年度;平成24年度;令和元年度;令和2年度;令和3年度;令和4年度;令和5年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/sdgs
encryption-digital-signature,暗号化・電子署名,情報管理,13,13,令和8年度,平成22年度;平成24年度;平成26年度;平成27年度;平成28年度;平成29年度;平成30年度;令和元年度;令和2年度;令和3年度;令和4年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/encryption-digital-signature
energy,エネルギー,社会環境管理,13,12,令和7年度,平成22年度;平成23年度;平成24年度;平成25年度;平成26年度;平成28年度;令和元年度;令和3年度;令和4年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/energy
circular-economy,サーキュラーエコノミー,社会環境管理,13,11,令和7年度,平成22年度;平成23年度;平成25年度;平成26年度;平成27年度;令和元年度;令和2年度;令和3年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/circular-economy
stress-check-system,ストレスチェック制度,人的資源管理,13,11,令和7年度,平成21年度;平成23年度;平成25年度;平成28年度;平成29年度;令和元年度;令和2年度;令和3年度;令和4年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/stress-check-system
mental-health-care,メンタルヘルスケア,人的資源管理,13,11,令和7年度,平成21年度;平成23年度;平成25年度;平成27年度;平成30年度;令和2年度;令和3年度;令和4年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/mental-health-care
preventive-maintenance,予防保全,経済性管理,13,11,令和8年度,平成21年度;平成23年度;平成25年度;平成26年度;平成29年度;令和2年度;令和3年度;令和4年度;令和5年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/preventive-maintenance
isms-iso27001,ISMS（ISO/IEC 27001）,情報管理,13,10,令和7年度,平成21年度;平成22年度;平成23年度;平成24年度;平成25年度;平成26年度;令和3年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/isms-iso27001
crisis-communication,危機広報,安全管理,13,10,令和5年度,平成21年度;平成22年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;令和2年度;令和3年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/crisis-communication
balance-sheet,貸借対照表（B/S）,経済性管理,12,12,令和7年度,平成21年度;平成22年度;平成23年度;平成28年度;平成29年度;平成30年度;令和元年度;令和2年度;令和3年度;令和4年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/balance-sheet
income-statement,損益計算書（P/L）,経済性管理,12,11,令和6年度,平成21年度;平成22年度;平成23年度;平成28年度;平成29年度;平成30年度;令和元年度;令和2年度;令和3年度;令和4年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/income-statement
patent-rights,特許権（特許法）,情報管理,12,11,令和6年度,平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;平成30年度;令和2年度;令和4年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/patent-rights
worker-dispatch-act,労働者派遣法,人的資源管理,12,11,令和8年度,平成21年度;平成22年度;平成25年度;平成28年度;平成29年度;令和元年度;令和2年度;令和3年度;令和4年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/worker-dispatch-act
